ProblemName,NumDims,PopSize,AlgorithmName,PValue,Change
Rastrigin,50,50,default_adaptive_de_rand_to_best_1_covbin,3.215898833873348e-56,-
Rastrigin,100,90,default_adaptive_de_rand_to_best_1_covbin,1.524579316500666e-12,-
Ackley,50,50,default_adaptive_de_rand_to_best_1_covbin,3.215898833873348e-56,-
Ackley,100,90,default_adaptive_de_rand_to_best_1_covbin,8.735097399240277e-18,-
Griewank,50,50,default_adaptive_de_rand_to_best_1_covbin,3.215898833873348e-56,-
Griewank,100,90,default_adaptive_de_rand_to_best_1_covbin,1.9973646706765943e-21,-
Schwefel 2.21,30,20,default_adaptive_de_unified_covbin,0.040831333466859916,+
Schwefel 1.2,50,50,default_adaptive_de_unified_covbin,6.091779922586857e-37,-
Rosenbrock,50,40,default_adaptive_de_unified_covbin,3.215898833873348e-56,-
Rastrigin,50,50,default_adaptive_de_unified_covbin,3.215898833873348e-56,-
Rastrigin,100,90,default_adaptive_de_unified_covbin,2.4228744018953273e-13,-
Ackley,50,50,default_adaptive_de_unified_covbin,8.40197987093182e-56,-
Ackley,100,90,default_adaptive_de_unified_covbin,1.972958367737399e-15,-
Griewank,50,50,default_adaptive_de_unified_covbin,3.215898833873348e-56,-
Griewank,100,90,default_adaptive_de_unified_covbin,1.5581614470189777e-18,-
Sphere,30,20,uniform_adaptive_de_rand_1_covbin,0.04021264089620317,+
Schwefel 2.21,10,20,uniform_adaptive_de_rand_1_covbin,0.030364319594241625,+
Schwefel 1.2,50,50,uniform_adaptive_de_rand_1_covbin,2.928346808123136e-49,-
Rosenbrock,50,40,uniform_adaptive_de_rand_1_covbin,3.215898833873348e-56,-
Rastrigin,50,50,uniform_adaptive_de_rand_1_covbin,4.607055698599617e-56,-
Rastrigin,100,90,uniform_adaptive_de_rand_1_covbin,8.544962108460287e-48,-
Ackley,50,50,uniform_adaptive_de_rand_1_covbin,1.7958115863307454e-56,-
Ackley,100,90,uniform_adaptive_de_rand_1_covbin,7.482794984493203e-52,-
Griewank,50,50,uniform_adaptive_de_rand_1_covbin,5.005035847604294e-56,-
Griewank,100,90,uniform_adaptive_de_rand_1_covbin,2.0689492868328635e-51,-
Schwefel 1.2,50,50,uniform_adaptive_de_best_1_covbin,2.4984072294347546e-53,-
Rosenbrock,50,40,uniform_adaptive_de_best_1_covbin,4.008885556549726e-56,-
Rastrigin,50,50,uniform_adaptive_de_best_1_covbin,3.1501100710797664e-32,-
Rastrigin,100,90,uniform_adaptive_de_best_1_covbin,2.7299719289559107e-50,-
Ackley,50,50,uniform_adaptive_de_best_1_covbin,4.458276038086541e-12,-
Ackley,100,90,uniform_adaptive_de_best_1_covbin,5.307614134317224e-29,-
Griewank,50,50,uniform_adaptive_de_best_1_covbin,4.705063876990186e-56,-
Griewank,100,90,uniform_adaptive_de_best_1_covbin,1.5229542451505575e-52,-
Schwefel 1.2,5,20,uniform_adaptive_de_current_to_best_1_covbin,0.00863994987784069,-
Schwefel 1.2,50,50,uniform_adaptive_de_current_to_best_1_covbin,2.554922037704494e-50,-
Rosenbrock,50,40,uniform_adaptive_de_current_to_best_1_covbin,3.2810116145580645e-56,-
Rastrigin,50,50,uniform_adaptive_de_current_to_best_1_covbin,8.02171951596393e-55,-
Rastrigin,100,90,uniform_adaptive_de_current_to_best_1_covbin,5.714640030432287e-47,-
Ackley,50,50,uniform_adaptive_de_current_to_best_1_covbin,2.5182828160011338e-33,-
Ackley,100,90,uniform_adaptive_de_current_to_best_1_covbin,1.1922967917480953e-44,-
Griewank,50,50,uniform_adaptive_de_current_to_best_1_covbin,6.350410058560721e-56,-
Griewank,100,90,uniform_adaptive_de_current_to_best_1_covbin,4.7514876912465944e-51,-
Schwefel 1.2,50,50,uniform_adaptive_de_current_to_rand_1_covbin,3.6282548545211304e-54,-
Rosenbrock,50,40,uniform_adaptive_de_current_to_rand_1_covbin,8.154024425822881e-56,-
Rastrigin,50,50,uniform_adaptive_de_current_to_rand_1_covbin,3.215898833873348e-56,-
Rastrigin,100,90,uniform_adaptive_de_current_to_rand_1_covbin,2.0161413675997778e-50,-
Ackley,50,50,uniform_adaptive_de_current_to_rand_1_covbin,7.524357226409248e-56,-
Ackley,100,90,uniform_adaptive_de_current_to_rand_1_covbin,4.7514876912465944e-51,-
Griewank,50,50,uniform_adaptive_de_current_to_rand_1_covbin,4.322328735157149e-56,-
Griewank,100,90,uniform_adaptive_de_current_to_rand_1_covbin,1.318746170222263e-51,-
Schwefel 1.2,50,50,uniform_adaptive_de_rand_to_best_1_covbin,3.167946262423924e-42,-
Rosenbrock,50,40,uniform_adaptive_de_rand_to_best_1_covbin,4.386905361365362e-56,-
Rastrigin,50,50,uniform_adaptive_de_rand_to_best_1_covbin,3.215898833873348e-56,-
Rastrigin,100,90,uniform_adaptive_de_rand_to_best_1_covbin,4.188124881003366e-34,-
Ackley,50,50,uniform_adaptive_de_rand_to_best_1_covbin,3.215764537009187e-56,-
Ackley,100,90,uniform_adaptive_de_rand_to_best_1_covbin,1.1712393079601966e-44,-
Griewank,50,50,uniform_adaptive_de_rand_to_best_1_covbin,3.2157757282036296e-56,-
Griewank,100,90,uniform_adaptive_de_rand_to_best_1_covbin,1.6064849855786565e-45,-
Sphere,30,20,uniform_adaptive_de_unified_covbin,0.0387601434385009,-
Schwefel 2.22,10,20,uniform_adaptive_de_unified_covbin,0.026271222304381493,-
Schwefel 1.2,50,50,uniform_adaptive_de_unified_covbin,1.533262028654242e-53,-
Rosenbrock,50,40,uniform_adaptive_de_unified_covbin,1.739682828740584e-55,-
Rastrigin,50,50,uniform_adaptive_de_unified_covbin,3.215898833873348e-56,-
Rastrigin,100,90,uniform_adaptive_de_unified_covbin,3.167946262423924e-42,-
Ackley,50,50,uniform_adaptive_de_unified_covbin,2.1716789832656202e-55,-
Ackley,100,90,uniform_adaptive_de_unified_covbin,8.680317875214074e-53,-
Griewank,50,50,uniform_adaptive_de_unified_covbin,5.484747445157648e-56,-
Griewank,100,90,uniform_adaptive_de_unified_covbin,5.661460553017944e-53,-
Sphere,10,20,rl_default_adaptive_de_rand_1_covbin,0.024691703407813022,+
Schwefel 1.2,50,50,rl_default_adaptive_de_rand_1_covbin,3.6692802368517816e-52,-
Rosenbrock,50,40,rl_default_adaptive_de_rand_1_covbin,4.008885556549726e-56,-
Rastrigin,50,50,rl_default_adaptive_de_rand_1_covbin,3.215898833873348e-56,-
Rastrigin,100,90,rl_default_adaptive_de_rand_1_covbin,1.377307840187114e-35,-
Ackley,50,50,rl_default_adaptive_de_rand_1_covbin,3.21578691943648e-56,-
Ackley,100,90,rl_default_adaptive_de_rand_1_covbin,5.853137994149091e-46,-
Griewank,50,50,rl_default_adaptive_de_rand_1_covbin,3.6266548973542796e-56,-
Griewank,100,90,rl_default_adaptive_de_rand_1_covbin,3.895811750225997e-46,-
Schwefel 1.2,50,50,rl_default_adaptive_de_best_1_covbin,7.702025933752658e-52,-
Rosenbrock,50,40,rl_default_adaptive_de_best_1_covbin,5.577618544322128e-56,-
Rastrigin,50,50,rl_default_adaptive_de_best_1_covbin,3.51942074472431e-56,-
Rastrigin,100,90,rl_default_adaptive_de_best_1_covbin,8.906450186658191e-44,-
Ackley,50,50,rl_default_adaptive_de_best_1_covbin,3.215372869343944e-56,-
Ackley,100,90,rl_default_adaptive_de_best_1_covbin,5.6611038416117024e-52,-
Griewank,50,50,rl_default_adaptive_de_best_1_covbin,3.211190550396158e-56,-
Griewank,100,90,rl_default_adaptive_de_best_1_covbin,5.606846058106576e-52,-
Schwefel 1.2,50,50,rl_default_adaptive_de_current_to_best_1_covbin,9.226300279559616e-50,-
Rosenbrock,5,20,rl_default_adaptive_de_current_to_best_1_covbin,0.04054514669164778,+
Rosenbrock,30,50,rl_default_adaptive_de_current_to_best_1_covbin,0.010326831290346871,-
